,RegionCode,T,Nuts0,sp61,tc,tl_mean,tl_diff,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,population,empden,labprod,unemployment
551,HU23,2007,HU,7.961168883800212,2.268311069036408,4.7989606465298005,2.5155515117047624,1.0,0.6017375150266756,967677,2.3544855914798117,0.019750329736211,9.9
552,HU31,2007,HU,8.186836917575954,2.2714844962425795,4.861113201113276,2.62083175234754,1.0,0.3737185319322191,1251441,3.1256049437867617,0.018911386374464,12.6
553,HU32,2007,HU,8.382068336286116,2.239553616973025,4.89982780436983,2.549566899491347,1.0,0.1278244252336325,1525317,2.940413338748251,0.0184162094763092,10.7
554,HU33,2007,HU,8.301449509439298,2.2409862881474165,4.894560145725214,2.5401057366568445,1.0,0.333686248915149,1342231,2.6769841529518263,0.0185886534935832,8.0
555,ITC1,2007,IT,11.127108141244229,1.9432542454152208,5.438915066315557,2.0982766140438214,0.0,-0.4523410933631853,4285466,7.37892196299276,0.0697821140427387,4.2
556,ITC2,2007,IT,7.73238395312898,2.842579645448564,5.113043937627425,2.22489408540382,0.0,-0.3582657934226551,124654,1.753627662858907,0.0806047535211267,3.2
557,ITC3,2007,IT,10.086783364642548,2.5356850428797557,5.0749330904758665,2.4702000549769614,1.0,0.2217680277126577,1572551,11.876172607879925,0.0751692733017377,4.8
558,ITC4,2007,IT,12.045230463152985,2.020880742695213,4.610779935761108,2.2600940487168204,0.0,-0.1395389373262304,9393968,18.58201754385965,0.0795255458257606,3.4
559,ITF1,2007,IT,9.611820535729768,2.9589618779543665,5.15724716613198,2.1905722582023057,0.0,-0.1556658169040868,1285456,4.678890456041373,0.0607095860128617,6.2
560,ITF2,2007,IT,8.205090766217143,3.0647510824802744,4.894792774081989,1.947771213083115,0.0,-0.3768027028989922,317206,2.547450262977361,0.0629754039497307,8.1
561,ITF3,2007,IT,10.7903454526877,2.429978042791656,5.069771246198576,2.773704534540115,0.0,-0.3085573592767424,5737883,12.772550776583037,0.0621775855013154,11.2
562,ITF4,2007,IT,10.451686292292672,2.493414149033607,5.065566255058815,2.6751065495837896,0.0,-0.7032905478198493,4032130,6.643218175186286,0.0559390461997019,11.1
563,ITF5,2007,IT,8.685745931707244,3.0840867881559584,5.042178239304749,2.083785606545016,0.0,-0.2012929737828845,585732,1.986829920773742,0.062139616778871,9.4
564,ITF6,2007,IT,9.8030441634321,2.247653855199917,5.233388360785933,1.8109208208800247,0.0,-0.5625313428708844,1967632,4.014098827357148,0.0562130361364403,11.1
565,ITG1,2007,IT,10.705031632276436,2.1900088965487208,5.205284898003248,2.0283258956038366,0.0,-0.5348706025043181,4967981,5.827856271399898,0.0602593868179362,12.9
566,ITG2,2007,IT,9.76290577647115,2.2667224326689963,5.2134705286580045,1.859093431885864,0.0,-0.2697419196108447,1635648,2.535995312238406,0.0537751444132695,9.8
567,LU00,2007,LU,9.861350009122225,1.788518570568842,4.693707039594409,2.2245522607896664,1.0,0.8334902843294617,476187,7.846094354215004,0.1855194677180877,4.1
568,LV00,2007,LV,9.211105998682244,1.9471789463484237,4.870200067517103,1.8458189533148264,1.0,2.7944056833109507,2208840,1.6975437469898862,0.0215308776243616,6.1
569,MT00,2007,MT,7.886944690080256,2.1330889341879877,5.00971655989794,1.789251951437917,1.0,0.7458214701425139,405616,49.23954372623574,0.0371795366795366,6.5
570,NL11,2007,NL,9.500591706997657,1.8145580675224613,4.643356948254964,2.4702800176689474,0.0,-1.1149562193978748,573614,11.74302490035572,0.0881271897810219,7.5
571,NL12,2007,NL,9.061910324077388,1.98970384693754,4.446459343762904,2.158100196974794,1.0,0.1344634772850201,642209,9.27970793308795,0.0552090293453724,3.7
572,NL13,2007,NL,8.768856179288079,1.9999588971947015,4.455767269735826,2.2115406323082323,1.0,0.2929890403332195,486197,8.655484457233728,0.0597047681539807,4.9
573,NL21,2007,NL,9.620175659621918,2.0256196970671287,4.422328356965514,2.032395346393117,1.0,0.0905421491255023,1116374,16.793961991821025,0.0605858370635631,4.1
574,NL22,2007,NL,10.142438918971685,1.9359570639633183,4.33714611214681,1.929201388181669,1.0,0.0152787612706865,1979059,20.11142845649463,0.0621568756875687,3.4
575,NL23,2007,NL,8.49756356548743,2.2324807035152245,4.311251741714877,2.146898334971747,1.0,0.3705078808608965,374424,13.48853615520282,0.0594324790794979,4.8
576,NL31,2007,NL,10.005997779875011,1.889921489650376,4.43892542916639,2.120942685925381,0.0,-0.0643283788236215,1190604,45.03971119133573,0.0898144437319653,3.7
577,NL32,2007,NL,10.738491489495654,1.857292555567276,4.488539577229598,2.079595924224676,0.0,-0.2820979466025115,2613070,50.15350056158741,0.0923866527321588,3.9
578,NL33,2007,NL,11.006041740493918,1.917119119086292,4.598450652381082,2.1919822938055407,1.0,0.0922054992161989,3455097,60.84485025047074,0.0811401728366226,4.5
579,NL34,2007,NL,8.787748049235091,2.028756351882139,4.533002224413567,2.227991771672152,1.0,1.044948377525156,380497,10.1225449051536,0.0605552791597567,2.7
