,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_regional_alt,sp61_resi_regional_alt_cont
58,R59,DEB2,Trier,2000,DE,DEB,4775.408949693,1.77667195116392,1.718094045564575,3.0903226567314097,4.0647373084388265,4.635500166538417,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
59,R60,DEB3,RheinhessenPfalz,2000,DE,DEB,21315.66177115,1.7107771861351504,1.6620451230150735,3.087394547653744,4.031458073404305,4.645186154104514,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
60,R61,DEC0,Saarland,2000,DE,DEC,9292.032155818,1.6886419847663872,1.7140414115897056,3.049832219073777,3.8328812847837375,4.339279908940078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
61,R62,DED1,Chemnitz,2000,DE,DED,10694.83738744,1.752426313625416,1.933316593930135,3.043438216205518,3.9067030150505246,4.526579783206421,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
62,R63,DED2,Dresden,2000,DE,DED,10837.4761296,1.689562095952052,1.82510513498761,3.031526540691127,3.8731096084598087,4.359326116425543,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
63,R64,DED3,Leipzig,2000,DE,DED,6770.509427151,1.7021950046818517,1.9395627826424136,2.9930732674928837,3.830810001453121,4.488441504011052,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
64,R65,DEE1,Dessau,2000,DE,DEE,3080.69704013,1.782594486931394,1.9788879984322871,2.9545735696727893,4.009284166283799,4.563961964187754,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
65,R66,DEE2,Halle,2000,DE,DEE,7699.88281529,1.7715381149169005,1.9513211678830602,3.0275322569575076,4.0468034633293986,4.635947834148462,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
66,R67,DEE3,Magdeburg,2000,DE,DEE,7671.60810026,1.8084324022234028,2.0125634216639896,3.0548567017055612,4.104130879408716,4.658404021888181,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
67,R68,DEF0,SchleswigHolstein,2000,DE,DEF,29093.62307561,1.7449667249487617,1.5727396815815966,3.15293142233033,4.252754500899461,4.750448687129405,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
68,R69,DEG0,Thuringen,2000,DE,DEG,15738.84100478,1.8274900378837464,1.9857224452289879,3.0897653167432564,4.062377843328283,4.581416044359129,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
69,R70,DK01,Hovedstadsreg,2000,DK,DK0,25365.78058543,1.7173464025521143,1.7878080108230467,3.004010140499591,4.2455604148119646,4.95979340149747,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
70,R71,DK02,Ost_for_Storebelt,2000,DK,DK0,7838.91160227,1.8652112496544786,2.1105563466924946,3.0119547727811775,4.229881629312033,4.852290529360483,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
71,R72,DK03,West_for_Storebelt,2000,DK,DK0,37072.2096954,1.765639192364869,1.6981757174654393,3.043527491038346,4.253669634579215,4.96479115907524,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
72,R73,EE00,Eesti,2000,EE,EE0,2983.70556147,1.8983272247918836,1.3490744646080082,3.7142729420734604,4.863143248685196,5.596402219550673,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
73,R74,ES11,Galicia,2000,ES,ES1,13935.398006300002,1.9463705537778577,1.3507422326314478,3.7399896280815637,5.049818851869763,5.532997128991115,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
74,R75,ES12,Principado_de_Asturias,2000,ES,ES1,5978.34544621,1.9776973749212845,1.539514199645987,3.6399156051971167,4.800090156331796,5.366761237211464,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
75,R76,ES13,Cantabria,2000,ES,ES1,3371.8553514,2.0266056242083996,1.6910385525826448,3.5677815589572712,4.710350406615402,5.277216822994721,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
76,R77,ES21,Pais_Vasco,2000,ES,ES2,16066.55297753,1.3653102100199541,1.5957137582747911,2.0395837568669126,3.5563790213201933,4.459244649114225,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
77,R78,ES22,Comunidad_Foral_de_Navarra,2000,ES,ES2,4289.78278698,2.0138715488835883,1.6406109534874562,3.650127063358709,4.693017120592233,5.269608112231982,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
