,causes,caused,weight
333,AT12,ES51,0
334,AT12,ES52,0
335,AT12,ES53,1
336,AT12,ES61,0
337,AT12,ES62,0
338,AT12,ES63,0
339,AT12,ES64,0
340,AT12,ES70,0
341,AT12,FI13,0
342,AT12,FI18,0
343,AT12,FI19,0
344,AT12,FI1A,0
345,AT12,FI20,1
346,AT12,FR10,0
347,AT12,FR21,0
348,AT12,FR22,0
349,AT12,FR23,0
350,AT12,FR24,0
351,AT12,FR25,0
352,AT12,FR26,0
353,AT12,FR30,0
354,AT12,FR41,1
355,AT12,FR42,0
356,AT12,FR43,0
357,AT12,FR51,0
358,AT12,FR52,0
359,AT12,FR53,0
360,AT12,FR61,0
361,AT12,FR62,0
362,AT12,FR63,0
363,AT12,FR71,0
364,AT12,FR72,0
365,AT12,FR81,0
366,AT12,FR82,0
367,AT12,FR83,0
368,AT12,GR11,0
369,AT12,GR12,0
370,AT12,GR13,1
371,AT12,GR14,0
372,AT12,GR21,0
373,AT12,GR22,0
374,AT12,GR23,0
375,AT12,GR24,0
376,AT12,GR25,0
377,AT12,GR30,0
378,AT12,GR41,0
379,AT12,GR42,0
380,AT12,GR43,0
381,AT12,HU10,0
382,AT12,HU21,0
383,AT12,HU22,0
384,AT12,HU23,0
385,AT12,HU31,0
386,AT12,HU32,0
387,AT12,HU33,0
388,AT12,IE01,0
389,AT12,IE02,0
390,AT12,ITC1,0
391,AT12,ITC2,1
392,AT12,ITC3,0
393,AT12,ITC4,1
394,AT12,ITD1,0
395,AT12,ITD2,0
396,AT12,ITD3,0
397,AT12,ITD4,0
398,AT12,ITD5,0
399,AT12,ITE1,0
400,AT12,ITE2,0
401,AT12,ITE3,0
402,AT12,ITE4,0
403,AT12,ITF1,0
404,AT12,ITF2,0
405,AT12,ITF3,0
406,AT12,ITF4,0
407,AT12,ITF5,0
408,AT12,ITF6,0
409,AT12,ITG1,0
410,AT12,ITG2,0
411,AT12,LT00,0
412,AT12,LU00,0
413,AT12,LV00,0
414,AT12,MT00,0
415,AT12,NL11,0
416,AT12,NL12,0
417,AT12,NL13,0
418,AT12,NL21,0
419,AT12,NL22,0
420,AT12,NL23,0
421,AT12,NL31,0
422,AT12,NL32,0
423,AT12,NL33,0
424,AT12,NL34,0
425,AT12,NL41,0
426,AT12,NL42,0
427,AT12,PL11,0
428,AT12,PL12,0
429,AT12,PL21,0
