,Region,RegionCode,RegionName,T,Nuts0,Nuts1,sp61,tc,tc_ratio,tl_min,tl_mean,tl_max,sp61_n,sp61_d,tl_min_n,tl_min_d,tl_mean_n,tl_mean_d,tl_max_n,tl_max_d,tc_n,tc_d,tc_ratio_n,tc_ratio_d,sp61_resi_n,sp61_resi_d_alt,sp61_resi_d,sp61_resi,sp61_resi_alt,sp61_resi_regional,sp61_resi_regional_alt,sp61_resi_regional_alt_cont,key,population,empden,labprod,unemployment,tl_diff
47,R173,NL31,Utrecht,2000,NL,NL3,9.684676898475903,1.8611514450165476,1.946040895860598,3.3216753681575675,4.4002735657865975,5.468687475957867,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL312000,1107849,42.386680357928704,0.0718183941858453,2.1,2.1470121078002995
48,R174,NL32,NoordHolland,2000,NL,NL3,10.406387925657446,1.8322614054946758,1.791051740784899,3.3447103015888144,4.410093718724887,5.443153275365342,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL322000,2518354,47.40882917466411,0.07196369770580296,2.7,2.0984429737765273
49,R175,NL33,ZuidHolland,2000,NL,NL3,10.643116303076646,1.8855102863590214,1.767266082008197,3.3745110536404184,4.490500253368113,5.570898686678992,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL332000,3397744,59.18032786885246,0.05936367065480049,2.7,2.196387633038573
50,R176,NL34,Zeeland,2000,NL,NL3,8.383922262621208,2.005137056900533,1.9757927775409387,3.450298271911891,4.4341733856279655,5.660032330359831,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL342000,371866,9.703683190252008,0.04415702054794521,3.4,2.2097340584479404
51,R177,NL41,NoordBrabant,2000,NL,NL4,10.287082603959805,1.9061894330114204,1.8176080623237278,3.375600973814124,4.431496094944076,5.53255423985026,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL412000,2356004,23.985150021301198,0.05566255603484733,2.1,2.156953266036136
52,R178,NL42,Limburg_NL,2000,NL,NL4,9.43193180163333,1.8908829570744168,1.9039520000003254,3.3352317340531523,4.375822222312176,5.489596791815789,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,NL422000,1141192,25.290012478624586,0.04908603801169591,2.7,2.1543650577626363
53,R207,SE11,Stockholm,2000,SE,SE1,10.293881742462222,1.7543377838021426,1.646602717102148,3.2027699520617414,4.0760798915499565,5.007055038716651,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE112000,1803377,14.360437470280552,0.08822700277718436,3.2,1.8042850866549092
54,R208,SE12,ostra_Mellansverige,2000,SE,SE1,9.577649288670905,1.8839799248520552,1.8809838105757393,3.347676285884303,4.112779577703561,4.751725734875687,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE122000,1490348,1.7926615104876267,0.05915165438520445,5.5,1.4040494489913837
55,R209,SE21,Sydsverige,2000,SE,SE2,9.453934019037394,1.7034961974723686,1.6268229441081237,3.1674516456574655,4.145443083370853,4.929484508602715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE212000,798344,1.1082044328177312,0.06117885760693016,4.4,1.7620328629452495
56,R210,SE22,Norra_Mellansverige,2000,SE,SE2,9.043513319106985,1.899733239465673,1.9276427850873727,3.3334887202914985,4.1457698670305065,4.849332244507211,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,SE222000,1274411,3.9328856180402085,0.06823302418621567,7.3,1.515843524215713
