DATAFLOW,LAST UPDATE,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT33,2007,346.4,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT33,2008,348.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT33,2009,353.4,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT33,2010,354.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2000,161.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2001,163.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2002,161.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2003,164.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2004,169.4,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2005,172.8,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2006,174.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2007,177.9,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2008,179.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2009,179.7,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,AT34,2010,181.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2000,345.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2001,341.5,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2002,338.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2003,351.7,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2004,369.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2005,372.2,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2006,367.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2007,382.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2008,398.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2009,403.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE10,2010,410.4,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2000,675.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2001,652.9,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2002,672.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2003,666.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2004,682.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2005,704.5,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2006,712.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2007,734.6,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2008,744.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2009,734.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE21,2010,751.7,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2000,325.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2001,329.6,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2002,336.8,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2003,322.9,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2004,335.3,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2005,336.7,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2006,346.5,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2007,356.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2008,363.0,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2009,365.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE22,2010,370.1,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2000,593.2,
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2001,589.2,b
ESTAT:LFST_R_LFE2ESTAT(1.0),27/04/23 11:00:00,A,EMP,T,Y_GE15,THS_PER,BE23,2002,576.4,
