,index,Region,RegionCode,RegionName,SectorCode,SectorName,sp60,sp61,Nuts0,Nuts1,trophic_depth_2000,trophic_depth_2001,trophic_depth_2002,trophic_depth_2003,trophic_depth_2004,trophic_depth_2005,trophic_depth_2006,trophic_depth_2007,trophic_depth_2008,trophic_depth_2009,trophic_depth_2010
BE23_ss4,171,R13,BE23,Prov_OostVlaanderen,ss4,Textiles_and_leather_etc,164.2966084,112.7659959,BE,BE2,4.968506673856107,4.982514918771974,4.38597846457592,4.882628677664222,4.92384395806601,4.947689803131379,4.998077370032792,5.003059742495898,4.973124509153351,4.929115283665092,5.0778705491389795
BE23_ss5,172,R13,BE23,Prov_OostVlaanderen,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,73.2188577,70.84066134,BE,BE2,5.35106859916214,5.335502744213581,4.806813801483423,5.237235856122113,5.331710721836557,5.48719210653732,5.5226933073112345,5.592049195671848,5.713265347117845,5.552090929010584,5.589966794233501
BE23_ss6,173,R13,BE23,Prov_OostVlaanderen,ss6,Electrical_and_optical_equipment_and_Transport_equipment,736.1783236,362.6380442,BE,BE2,4.797648270421612,4.852047195611379,4.417708713699227,4.78216503717532,4.926414815846008,4.9791085298580855,5.075240192856751,5.136463064807876,5.171433629797034,5.013495617274774,5.085739612129821
BE23_ss8,174,R13,BE23,Prov_OostVlaanderen,ss8,Other_manufacturing,1485.819908,1030.79209,BE,BE2,4.681506223048958,4.68029199366474,4.669421286165107,4.667622259784805,4.780720260795588,4.829612456108707,4.965321935578531,5.078461034438059,5.043541388626519,4.890187256925329,4.9888916557794
BE23_ss9,175,R13,BE23,Prov_OostVlaanderen,ss9,Construction,855.3918303,811.1186511,BE,BE2,4.867946889462899,4.875599711105697,4.5675908111905,4.831793376337635,4.938457277349875,5.085095849208778,5.19342426119158,5.200575720652354,5.2383312766491645,5.111269976153745,5.218357344411843
BE23_ss10,176,R13,BE23,Prov_OostVlaanderen,ss10,Distribution,1437.788832,1528.311169,BE,BE2,4.599699074126622,4.6141884483573925,4.610536715077247,4.42524240906252,4.491985139872809,4.581471440733317,4.563117831984229,4.513000124822671,4.53798322919051,4.395606421775616,4.497524965711739
BE23_ss11,177,R13,BE23,Prov_OostVlaanderen,ss11,Hotels_and_restaurant,171.2225896,231.0908668,BE,BE2,4.860002474007318,4.9291035493808915,3.7819507239681154,4.761697539886127,4.81137882221079,4.9199644415316754,4.920708657987567,4.929131887830357,4.942704042715219,4.852331010977247,4.8663244647272546
BE23_ss12,178,R13,BE23,Prov_OostVlaanderen,ss12,Transport_storage_and_communication,847.9860624,1036.365067,BE,BE2,4.73186832989311,4.792007456089425,4.8772695098500645,4.632863535564271,4.741173890227875,4.932460402905651,4.988384556173563,5.012851342892514,5.086111799603165,4.9344764609761365,4.992192790192284
BE23_ss13,179,R13,BE23,Prov_OostVlaanderen,ss13,Financial_intermediation,529.8008943,752.0736459,BE,BE2,4.251046675165434,4.278155443335187,4.851641406802846,4.2365948937026205,4.320121203412815,4.461888903126955,4.515046002756979,4.513539347425297,4.625870830910559,4.546808103447728,4.426743916419938
BE23_ss14,180,R13,BE23,Prov_OostVlaanderen,ss14,Real_estate_renting_and_busine_activitie,986.704026,4477.731678,BE,BE2,4.795540180390073,4.864494722488076,4.944333640704608,4.766511730817587,4.856514370725148,4.995095040687403,4.964526886281745,4.898831472021762,4.906553415193104,4.849904433227003,4.87288002487674
BE23_ss15,181,R13,BE23,Prov_OostVlaanderen,ss15,Non-Market_Service,4171.222717,1633.629124,BE,BE2,3.183434301172827,3.188952516557652,2.3853674995555028,3.145617804884771,3.1899922961399914,3.2189584663775115,3.239141057173055,3.247595424909922,3.2751852656083784,3.2226910963808306,3.267882705660718
BE24_ss1,182,R14,BE24,Prov_Vlaams_Brabant,ss1,Agriculture,35.35583069,191.9960652,BE,BE2,5.266847321721751,5.252224702774425,5.080752628929085,4.9759999623235025,4.975464325036076,5.030575703024407,5.085261388962675,5.118719223769855,5.206080974729047,5.109880330664804,5.05751988565935
BE24_ss2,183,R14,BE24,Prov_Vlaams_Brabant,ss2,Mining_quarrying_and_energy_supply,117.8871638,320.0601908,BE,BE2,4.312569526600491,4.531749483710044,4.417851448229555,4.160443617055565,4.260135255445685,4.511270425655911,4.651065746393683,4.59597815971019,4.586834577824087,4.482578752047352,4.544481542615157
BE24_ss3,184,R14,BE24,Prov_Vlaams_Brabant,ss3,Food_beverages_and_tobacco,275.5443164,281.4558773,BE,BE2,5.330385037102365,5.397371067438469,4.477506888042377,5.220875884095676,5.221363959409949,5.235175806838112,5.289353810180552,5.348652434150071,5.387214307290493,5.226486491294553,5.317696960290906
BE24_ss4,185,R14,BE24,Prov_Vlaams_Brabant,ss4,Textiles_and_leather_etc,77.22944903,59.92124693,BE,BE2,4.983917381116179,5.032904133531897,4.294426525683093,4.876439812567839,4.9342991947091095,5.01345365608589,5.088172392539104,5.1131473806433805,5.05305018428406,5.00207673013944,5.153319276006229
BE24_ss5,186,R14,BE24,Prov_Vlaams_Brabant,ss5,Coke_refined_petroleum_nuclear_fuel_and_chemicals_etc,755.9146908,825.4304502,BE,BE2,5.2264708171332455,5.248704851521524,4.794302138527475,5.121628120665548,5.218792874973232,5.4038117351348385,5.442182464557547,5.5022265607345355,5.684595270736281,5.502681561763678,5.552187894241598
